"edu" "work_f" "health_birth" "edu_exp" "GNI" "MMR" "ABR" "parliament"
"Bhutan" 0.985507246376812 66.7 69.5 12.6 169 120 40.9 8.3
"Syrian Arab Republic" 0.728395061728395 13.5 69.6 12.3 74 49 41.6 12.4
"Congo" 0.84468085106383 68.5 62.3 11.1 159 410 126.7 11.5
"Zambia" 0.586363636363636 73.1 60.1 13.5 111 280 125.4 12.7
"Ghana" 0.698608964451314 67.3 61.4 11.5 113 380 58.4 10.9
"Bangladesh" 0.825665859564165 57.4 71.6 10 104 170 80.6 20
"Cambodia" 0.432314410480349 78.8 68.4 10.9 78 170 44.3 19
"Kenya" 0.805732484076433 62.2 61.6 11 75 400 93.6 20.8
"Nepal" 0.463350785340314 79.9 69.6 12.4 68 190 73.7 29.5
"Pakistan" 0.418655097613883 24.6 66.2 7.8 132 170 27.3 19.7
"Myanmar" 1.49673202614379 75.2 65.9 8.6 129 200 12.1 4.7
"Swaziland" 0.842307692307692 43.9 49 11.3 149 310 72 14.7
"Tanzania (United Republic of)" 0.589473684210526 88.1 65 9.2 70 410 122.7 36
"Cameroon" 0.610315186246418 63.8 55.5 10.4 76 590 115.8 27.1
"Zimbabwe" 0.785483870967742 83.2 57.5 10.9 15 470 60.3 35.1
"Mauritania" 0.397129186602871 28.7 63.1 8.5 110 320 73.3 22.2
"Papua New Guinea" 0.524137931034483 70.5 62.6 9.9 72 220 62.1 2.7
"Yemen" 0.322097378277154 25.4 63.8 9.2 109 270 47 0.7
"Lesotho" 1.15263157894737 59 49.8 11.1 106 490 89.4 26.8
"Togo" 0.399503722084367 80.6 59.7 12.2 4 450 91.5 17.6
"Haiti" 0.636363636363636 60.9 62.8 8.7 16 380 42 3.5
"Rwanda" 0.909090909090909 86.4 64.2 10.3 9 320 33.6 57.5
"Uganda" 0.683582089552239 75.8 58.5 9.8 14 360 126.6 35
"Benin" 0.418518518518519 67.6 59.6 11.1 17 340 90.2 8.4
"Sudan" 0.664835164835165 31.3 63.5 7 112 360 84 23.8
"Senegal" 0.467532467532468 66 66.5 7.9 67 320 94.4 42.7
"Afghanistan" 0.197986577181208 15.8 60.4 9.3 19 400 86.8 27.6
"Côte d'Ivoire" 0.465116279069767 52.4 51.5 8.9 103 720 130.3 9.2
"Malawi" 0.513888888888889 84.6 62.8 10.8 178 510 144.8 16.7
"Ethiopia" 0.428571428571429 78.2 64.1 8.5 7 420 78.4 25.5
"Gambia" 0.552380952380952 72.2 60.2 8.8 10 430 115.8 9.4
"Congo (Democratic Republic of the)" 0.395061728395062 70.7 58.7 9.8 167 730 135.3 8.2
"Liberia" 0.391857506361323 58.2 60.9 9.5 184 640 117.4 10.7
"Mali" 0.509933774834437 50.8 58 8.4 12 550 175.6 9.5
"Mozambique" 0.225806451612903 85.5 55.1 9.3 2 480 137.8 39.6
"Sierra Leone" 0.460829493087558 65.7 50.9 8.6 18 1100 100.7 12.4
"Burkina Faso" 0.28125 77.1 58.7 7.8 13 400 115.4 13.3
"Burundi" 0.63855421686747 83.3 56.7 10.1 179 740 30.3 34.9
"Chad" 0.171717171717172 64 51.6 7.4 66 980 152 14.9
"Central African Republic" 0.378277153558052 72.6 50.7 7.2 158 880 98.3 12.5
"Niger" 0.307692307692308 40 61.4 5.4 194 630 204.8 13.3
